experiment_id,sbi_method,nb_round,nb_simulations,c2st
exp_snle_1_2000,snle,1,2000,0.61975
exp_snle_5_100,snle,5,100,0.8353
exp_snre_5_500,snre,5,500,0.7954
exp_snpe_5_100,snpe,5,100,0.9381
exp_snle_5_500,snle,5,500,0.6448
exp_snle_5_500,snle,5,500,0.63945
exp_snle_5_100,snle,5,100,0.87585
exp_snpe_5_500,snpe,5,500,0.67925
exp_snpe_5_1000,snpe,5,1000,0.6129
exp_snpe_5_100,snpe,5,100,0.9106
exp_snle_1_1000,snle,1,1000,0.6542
exp_snpe_5_500,snpe,5,500,0.6598
exp_snpe_5_1500,snpe,5,1500,0.6082
exp_snle_5_1000,snle,5,1000,0.6303
exp_snpe_5_100,snpe,5,100,0.95865
exp_snle_5_500,snle,5,500,0.6573
exp_snre_5_1500,snre,5,1500,0.68125
exp_snle_5_1000,snle,5,1000,0.613
exp_snpe_5_1000,snpe,5,1000,0.6174
exp_snpe_5_2000,snpe,5,2000,0.5952
exp_snre_5_1000,snre,5,1000,0.7009
exp_snpe_5_500,snpe,5,500,0.6601
exp_snre_5_2000,snre,5,2000,0.66755
exp_snpe_5_1500,snpe,5,1500,0.62065
exp_snpe_5_2000,snpe,5,2000,0.5919
exp_snpe_5_1000,snpe,5,1000,0.6231
exp_snle_5_1000,snle,5,1000,0.59845
exp_snle_5_1500,snle,5,1500,0.61
exp_snre_5_1500,snre,5,1500,0.66355
exp_snle_5_1500,snle,5,1500,0.5797
exp_snpe_5_1500,snpe,5,1500,0.60275
exp_snpe_5_2000,snpe,5,2000,0.58845
exp_snle_5_1500,snle,5,1500,0.60705
exp_snle_5_2000,snle,5,2000,0.60215
exp_snre_5_500,snre,5,500,0.779
exp_snle_5_2000,snle,5,2000,0.6085
exp_snre_5_1000,snre,5,1000,0.7365
exp_snre_5_2000,snre,5,2000,0.6723
exp_snre_5_1500,snre,5,1500,0.64515
exp_snle_5_2000,snle,5,2000,0.592
exp_snre_5_2000,snre,5,2000,0.66035
exp_snpe_5_100,snpe,5,100,0.96625
exp_snpe_1_500,snpe,1,500,0.7607
exp_snpe_1_500,snpe,1,500,0.70585
exp_snpe_5_500,snpe,5,500,0.62225
exp_snpe_5_500,snpe,5,500,0.64705
exp_snre_1_500,snre,1,500,0.93415
exp_snre_1_500,snre,1,500,0.89045
exp_snre_5_500,snre,5,500,0.8061
exp_snpe_5_1000,snpe,5,1000,0.60565
exp_snle_1_500,snle,1,500,0.6899
exp_snle_1_500,snle,1,500,0.7649
exp_snle_5_500,snle,5,500,0.6705
exp_snle_5_500,snle,5,500,0.666
