experiment_id,sbi_method,total_steps,activ_fun,nb_simulations,score_weight,n_flow_layers,n_bijector_layers,seed,nf type,batch size,score type,score noise,c2st
exp_nle_70000_1000_3_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,1000,1e-05,4,2,3,affine,128,marginal,0.0,0.6082
exp_nle_70000_200_3_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,200,1e-05,4,2,3,affine,128,marginal,0.0,0.77605
exp_nle_70000_1000_4_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,1000,1e-05,4,2,4,affine,128,marginal,0.0,0.5827
exp_nle_70000_1000_1_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,1000,1e-05,4,2,1,affine,128,marginal,0.0,0.6094
exp_nle_70000_1000_4_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,1000,1e-05,4,2,4,affine,128,unmarginal,0.0,0.5925
exp_nle_70000_1000_2_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,1000,1e-05,4,2,2,affine,128,marginal,0.0,0.59185
exp_nle_70000_1500_4_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,1500,1e-05,4,2,4,affine,128,unmarginal,0.0,0.60685
exp_nle_70000_1500_1_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,1500,1e-05,4,2,1,affine,128,unmarginal,0.0,0.57845
exp_nle_70000_1500_2_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,1500,1e-05,4,2,2,affine,128,unmarginal,0.0,0.59335
exp_nle_70000_1500_3_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,1500,1e-05,4,2,3,affine,128,unmarginal,0.0,0.58535
exp_nle_70000_1500_1_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,1500,1e-05,4,2,1,affine,128,marginal,0.0,0.59195
exp_nle_70000_1500_3_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,1500,1e-05,4,2,3,affine,128,marginal,0.0,0.60485
exp_nle_70000_1500_2_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,1500,1e-05,4,2,2,affine,128,marginal,0.0,0.6003
exp_nle_70000_1500_4_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,1500,1e-05,4,2,4,affine,128,marginal,0.0,0.5963
exp_nle_70000_2000_1_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,2000,1e-05,4,2,1,affine,128,unmarginal,0.0,0.5848
exp_nle_70000_2000_4_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,2000,1e-05,4,2,4,affine,128,unmarginal,0.0,0.59795
exp_nle_70000_2000_1_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,2000,1e-05,4,2,1,affine,128,marginal,0.0,0.5956
exp_nle_70000_2000_3_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,2000,1e-05,4,2,3,affine,128,unmarginal,0.0,0.5893
exp_nle_70000_2000_2_4_2_silu_affine_128_1e-05_unmarginal_0.0,nle,70000,silu,2000,1e-05,4,2,2,affine,128,unmarginal,0.0,0.5997
exp_nle_70000_2000_4_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,2000,1e-05,4,2,4,affine,128,marginal,0.0,0.59875
exp_nle_70000_2000_2_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,2000,1e-05,4,2,2,affine,128,marginal,0.0,0.60185
exp_nle_70000_2000_3_4_2_silu_affine_128_1e-05_marginal_0.0,nle,70000,silu,2000,1e-05,4,2,3,affine,128,marginal,0.0,0.574
exp_nle_70000_100_5_4_2_silu_affine_128_0.0_unmarginal_0.0,nle,70000,silu,100,0.0,4,2,5,affine,128,unmarginal,0.0,0.99315
exp_nle_70000_200_5_4_2_silu_affine_128_0.0_unmarginal_0.0,nle,70000,silu,200,0.0,4,2,5,affine,128,unmarginal,0.0,0.77285
exp_nle_70000_300_6_4_2_silu_affine_128_0.0_unmarginal_0.0,nle,70000,silu,300,0.0,4,2,6,affine,128,unmarginal,0.0,0.6579
